Id 	 Expenditure 	 Points 	 Eligibility
754 	 124 	 747 	 false
755 	 124 	 747 	 false
756 	 98 	 589 	 false
757 	 98 	 589 	 false
758 	 138 	 829 	 false
759 	 138 	 829 	 false
760 	 154 	 922 	 false
761 	 154 	 922 	 false
762 	 119 	 715 	 false
763 	 119 	 715 	 false
764 	 245 	 1471 	 false
765 	 245 	 1471 	 false
766 	 357 	 2142 	 false
767 	 296 	 1777 	 false
768 	 231 	 1387 	 false
769 	 231 	 1387 	 false
770 	 302 	 1813 	 false
771 	 302 	 1813 	 false
772 	 249 	 1493 	 false
773 	 249 	 1493 	 false
774 	 238 	 1430 	 false
775 	 238 	 1430 	 false
776 	 128 	 769 	 false
777 	 128 	 769 	 false
778 	 130 	 779 	 false
779 	 130 	 779 	 false
780 	 295 	 1771 	 false
781 	 295 	 1771 	 false
782 	 89 	 535 	 false
783 	 89 	 535 	 false
784 	 291 	 1747 	 false
785 	 259 	 1555 	 false
786 	 308 	 1849 	 false
787 	 308 	 1849 	 false
788 	 242 	 1453 	 false
789 	 242 	 1453 	 false
790 	 281 	 1687 	 false
791 	 281 	 1687 	 false
792 	 336 	 2014 	 false
793 	 336 	 2014 	 false
794 	 278 	 1669 	 false
795 	 278 	 1669 	 false
796 	 164 	 985 	 false
797 	 164 	 985 	 false
798 	 349 	 2094 	 false
799 	 349 	 2094 	 false
800 	 249 	 1496 	 false
801 	 249 	 1496 	 false
802 	 169 	 1017 	 false
803 	 169 	 1017 	 false
804 	 291 	 1747 	 false
805 	 268 	 1609 	 false
806 	 196 	 1177 	 false
807 	 196 	 1177 	 false
808 	 206 	 1237 	 false
809 	 206 	 1237 	 false
810 	 369 	 2215 	 false
811 	 318 	 1909 	 false
812 	 254 	 1525 	 false
813 	 254 	 1525 	 false
814 	 298 	 1789 	 false
815 	 298 	 1789 	 false
816 	 163 	 979 	 false
817 	 163 	 979 	 false
818 	 140 	 841 	 false
819 	 140 	 841 	 false
820 	 213 	 1279 	 false
821 	 213 	 1279 	 false
822 	 512 	 3073 	 true
823 	 512 	 3073 	 true
824 	 121 	 728 	 false
825 	 121 	 728 	 false
826 	 257 	 1543 	 false
827 	 257 	 1543 	 false
828 	 427 	 2564 	 false
829 	 427 	 2564 	 false
830 	 216 	 1297 	 false
831 	 216 	 1297 	 false
832 	 171 	 1027 	 false
833 	 171 	 1027 	 false
834 	 272 	 1629 	 false
835 	 272 	 1629 	 false
836 	 148 	 889 	 false
837 	 148 	 889 	 false
838 	 154 	 924 	 false
839 	 154 	 924 	 false
840 	 264 	 1583 	 false
841 	 264 	 1583 	 false
842 	 483 	 2899 	 false
843 	 483 	 2899 	 false
844 	 314 	 1885 	 false
845 	 290 	 1741 	 false
846 	 448 	 2689 	 false
847 	 448 	 2689 	 false
848 	 268 	 1609 	 false
849 	 218 	 1309 	 false
850 	 289 	 1734 	 false
851 	 289 	 1734 	 false
852 	 205 	 1232 	 false
853 	 205 	 1232 	 false
854 	 212 	 1272 	 false
855 	 212 	 1272 	 false
856 	 387 	 2322 	 false
857 	 387 	 2322 	 false
858 	 269 	 1614 	 false
859 	 123 	 739 	 false
860 	 123 	 739 	 false
861 	 152 	 912 	 false
862 	 152 	 912 	 false
863 	 235 	 1411 	 false
864 	 235 	 1411 	 false
865 	 209 	 1255 	 false
866 	 209 	 1255 	 false
867 	 163 	 979 	 false
868 	 163 	 979 	 false
869 	 169 	 1017 	 false
870 	 169 	 1017 	 false
871 	 258 	 1550 	 false
872 	 258 	 1550 	 false
873 	 159 	 954 	 false
874 	 348 	 2089 	 false
875 	 348 	 2089 	 false
876 	 602 	 3614 	 true
877 	 602 	 3614 	 true
878 	 177 	 1063 	 false
879 	 177 	 1063 	 false
880 	 179 	 1075 	 false
881 	 179 	 1075 	 false
882 	 196 	 1177 	 false
883 	 196 	 1177 	 false
884 	 409 	 2455 	 false
885 	 409 	 2455 	 false
886 	 300 	 1802 	 false
887 	 300 	 1802 	 false
888 	 271 	 1627 	 false
889 	 271 	 1627 	 false
890 	 98 	 589 	 false
891 	 98 	 589 	 false
892 	 372 	 2233 	 false
893 	 372 	 2233 	 false
894 	 372 	 2233 	 false
895 	 372 	 2233 	 false
896 	 231 	 1387 	 false
897 	 231 	 1387 	 false
898 	 292 	 1753 	 false
899 	 292 	 1753 	 false
900 	 85 	 511 	 false
901 	 85 	 511 	 false
902 	 138 	 829 	 false
903 	 138 	 829 	 false
904 	 168 	 1009 	 false
905 	 168 	 1009 	 false
906 	 206 	 1237 	 false
907 	 206 	 1237 	 false
908 	 410 	 2462 	 false
909 	 410 	 2462 	 false
910 	 364 	 2184 	 false
911 	 364 	 2184 	 false
912 	 170 	 1023 	 false
913 	 170 	 1023 	 false
914 	 456 	 2738 	 false
915 	 456 	 2738 	 false
916 	 257 	 1540 	 false
917 	 257 	 1540 	 false
918 	 674 	 4045 	 true
919 	 674 	 4045 	 true
920 	 247 	 1481 	 false
921 	 247 	 1481 	 false
922 	 113 	 679 	 false
923 	 113 	 679 	 false
924 	 455 	 2730 	 false
925 	 455 	 2730 	 false
926 	 148 	 889 	 false
927 	 148 	 889 	 false
928 	 233 	 1400 	 false
929 	 233 	 1400 	 false
930 	 547 	 3282 	 true
931 	 547 	 3282 	 true
932 	 260 	 1561 	 false
933 	 260 	 1561 	 false
934 	 299 	 1795 	 false
935 	 278 	 1669 	 false
936 	 319 	 1915 	 false
937 	 305 	 1831 	 false
938 	 98 	 589 	 false
939 	 98 	 589 	 false
940 	 289 	 1735 	 false
941 	 289 	 1735 	 false
942 	 130 	 782 	 false
943 	 130 	 782 	 false
944 	 405 	 2432 	 false
945 	 405 	 2432 	 false
946 	 512 	 3073 	 true
